HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
CE20.hmm	249	DWY18_RS02510	649	2.9e-42	3	132	101	244	0.5180722891566265
CE20.hmm	249	DWY18_RS02510	649	7.5e-50	122	249	420	545	0.5100401606425703
GH20.hmm	337	DWY18_RS02650	775	2.6e-113	8	336	156	515	0.973293768545994
GH2.hmm	752	DWY18_RS02655	1022	1.2e-214	20	749	58	904	0.9694148936170213
GH136.hmm	491	DWY18_RS03055	680	7.5e-129	2	491	40	522	0.9959266802443992
GH136.hmm	491	DWY18_RS03060	511	3.9e-123	2	490	28	509	0.9938900203665988
GH130_5.hmm	330	DWY18_RS03070	340	1.2e-168	1	330	3	335	0.996969696969697
GH173.hmm	255	DWY18_RS03075	510	9e-87	1	255	80	354	0.996078431372549
GH95.hmm	722	DWY18_RS03835	814	4.4e-272	9	718	44	788	0.981994459833795
GT19.hmm	354	DWY18_RS05910	379	9.4e-113	2	350	4	357	0.9830508474576272
GT2.hmm	170	DWY18_RS06495	324	3.8e-33	1	155	5	156	0.9058823529411765
GH2.hmm	752	DWY18_RS08055	592	3e-89	25	489	34	584	0.6170212765957447
PL8_2.hmm	247	DWY18_RS08350	954	2.4e-90	1	247	576	808	0.9959514170040485
GT4.hmm	160	DWY18_RS08380	413	2e-25	2	127	232	354	0.78125
GT2.hmm	170	DWY18_RS08525	335	2.5e-29	1	116	15	128	0.6764705882352942
GT14.hmm	250	DWY18_RS08565	323	1.8e-51	2	245	34	291	0.972
GT4.hmm	160	DWY18_RS09660	361	4.1e-30	8	155	192	335	0.91875
GT4.hmm	160	DWY18_RS09670	392	3.2e-27	7	149	225	359	0.8875
GT4.hmm	160	DWY18_RS09685	376	1e-25	9	153	196	336	0.9
GT2.hmm	170	DWY18_RS09695	322	2.4e-32	1	144	4	161	0.8411764705882353
GH20.hmm	337	DWY18_RS09735	692	5.8e-121	8	336	151	498	0.973293768545994
GH20.hmm	337	DWY18_RS09740	775	2.8e-123	8	336	154	509	0.973293768545994
GH89.hmm	663	DWY18_RS09785	731	9.4e-244	2	662	64	723	0.995475113122172
CE2.hmm	209	DWY18_RS09820	367	2.4e-60	1	208	149	351	0.9904306220095693
CE20.hmm	249	DWY18_RS09830	885	2e-85	3	249	103	362	0.9879518072289156
GH138.hmm	907	DWY18_RS09950	900	0	1	907	1	899	0.9988974641675854
GH139.hmm	777	DWY18_RS10010	792	0	4	775	2	790	0.9922779922779923
PL1_2.hmm	183	DWY18_RS10030	561	8.5e-64	1	183	134	324	0.994535519125683
CBM67.hmm	176	DWY18_RS11755	883	1.7e-38	1	165	145	319	0.9318181818181818
GH78.hmm	504	DWY18_RS11755	883	6.1e-177	4	504	351	859	0.9920634920634921
GH137.hmm	340	DWY18_RS11760	366	8e-158	4	339	25	363	0.9852941176470589
GH106.hmm	824	DWY18_RS11765	1045	1.1e-217	94	823	333	1041	0.8847087378640777
GH28.hmm	325	DWY18_RS11770	416	2.4e-61	9	318	49	404	0.9507692307692308
CBM67.hmm	176	DWY18_RS11775	741	1.1e-30	3	176	9	193	0.9829545454545454
GH78.hmm	504	DWY18_RS11775	741	2.6e-84	89	504	294	700	0.8234126984126984
GT2.hmm	170	DWY18_RS12135	430	9.4e-20	1	127	11	138	0.7411764705882353
GT4.hmm	160	DWY18_RS12205	388	3e-29	7	151	211	353	0.9
GT4.hmm	160	DWY18_RS12210	399	6.1e-31	6	155	213	370	0.93125
GH30_2.hmm	417	DWY18_RS13745	491	1.7e-176	2	416	51	487	0.9928057553956835
PL9.hmm	374	DWY18_RS14280	536	8.4e-105	9	370	20	440	0.9652406417112299
GH28.hmm	325	DWY18_RS14405	507	2.8e-60	6	315	83	455	0.9507692307692308
GH106.hmm	824	DWY18_RS14420	925	0	3	823	20	914	0.9951456310679612
GH2.hmm	752	DWY18_RS15460	1195	3.7e-211	19	751	219	1075	0.973404255319149
GH92.hmm	491	DWY18_RS15835	752	9e-166	3	491	212	733	0.9938900203665988
CBM62.hmm	131	DWY18_RS16305	674	3.8e-24	57	131	460	536	0.5648854961832062
CBM62.hmm	131	DWY18_RS16305	674	2.4e-18	2	66	543	606	0.48854961832061067
CE15.hmm	269	DWY18_RS17100	393	1.7e-18	5	268	60	384	0.9776951672862454
GH20.hmm	337	DWY18_RS17150	538	3.9e-107	8	336	141	481	0.973293768545994
CE20.hmm	249	DWY18_RS17155	475	1.8e-80	3	248	103	363	0.9839357429718876
GH89.hmm	663	DWY18_RS17185	733	4.1e-249	2	661	63	721	0.9939668174962293
CE9.hmm	373	DWY18_RS17195	396	3.5e-117	2	373	7	389	0.9946380697050938
GT2.hmm	170	DWY18_RS17730	340	1.8e-23	1	119	5	123	0.6941176470588235
GH92.hmm	491	DWY18_RS18400	772	3.2e-144	2	491	239	764	0.9959266802443992
GH3.hmm	216	DWY18_RS18420	750	1.1e-68	3	216	93	315	0.9861111111111112
GH43_24.hmm	246	DWY18_RS20045	356	4.6e-100	2	245	49	304	0.9878048780487805
GH43_10.hmm	271	DWY18_RS20160	534	1.4e-88	2	271	49	315	0.992619926199262
CBM91.hmm	200	DWY18_RS20160	534	8.7e-23	4	196	346	531	0.96
GH38.hmm	269	DWY18_RS20895	1200	1.4e-53	1	250	31	285	0.9256505576208178
GT4.hmm	160	DWY18_RS21570	393	1.1e-27	12	135	222	344	0.76875
GT2.hmm	170	DWY18_RS21585	274	3.9e-26	5	131	12	139	0.7411764705882353
PL1_2.hmm	183	DWY18_RS22240	580	7.5e-63	1	183	135	328	0.994535519125683
GT2.hmm	170	DWY18_RS22660	278	6.5e-31	1	131	5	130	0.7647058823529411
GT4.hmm	160	DWY18_RS22665	409	1.2e-21	6	156	215	372	0.9375
GH30_2.hmm	417	EAJ10_RS02295	482	1.3e-169	7	416	62	478	0.9808153477218226
GH3.hmm	216	EAJ10_RS02300	757	7.2e-65	2	214	98	319	0.9814814814814815
PL8_2.hmm	247	EAJ10_RS05375	978	5.4e-41	10	163	614	768	0.6194331983805668
GT2.hmm	170	EAJ10_RS06940	310	6.9e-17	1	151	80	230	0.8823529411764706
GT11.hmm	276	EAJ10_RS07010	301	2e-32	5	257	26	287	0.9130434782608695
GT2.hmm	170	EAJ10_RS07015	330	1.4e-32	1	133	15	151	0.7764705882352941
GT4.hmm	160	EAJ10_RS07020	373	1.8e-25	10	156	202	345	0.9125
GT2.hmm	170	EAJ10_RS07025	277	4e-38	1	127	8	132	0.7411764705882353
GT8.hmm	257	EAJ10_RS07030	304	3.1e-55	32	254	3	249	0.8638132295719845
GT32.hmm	90	EAJ10_RS07035	244	4.9e-18	2	87	19	95	0.9444444444444444
GT2.hmm	170	EAJ10_RS07040	324	2.8e-32	1	138	6	143	0.8058823529411765
GH50.hmm	653	EAJ10_RS07660	636	1.6e-36	25	255	112	351	0.35222052067381315
GH51_1.hmm	472	EAJ10_RS07665	711	1.4e-64	38	470	259	705	0.9152542372881356
GH5.hmm	275	EAJ10_RS07670	406	5.7e-21	31	230	40	264	0.7236363636363636
GH139.hmm	777	EAJ10_RS07690	734	0	31	771	9	730	0.9523809523809523
GH147.hmm	816	EAJ10_RS07695	837	5.5e-240	10	814	21	813	0.9852941176470589
GH105.hmm	332	EAJ10_RS07700	392	3.5e-74	10	331	65	386	0.9668674698795181
GH154.hmm	348	EAJ10_RS07710	408	3e-99	1	347	18	379	0.9942528735632183
GH97.hmm	631	EAJ10_RS07715	649	3e-172	11	624	17	642	0.971473851030111
GH59.hmm	631	EAJ10_RS07720	716	6.9e-156	2	629	42	687	0.993660855784469
GH31_19.hmm	387	EAJ10_RS07725	528	1.5e-174	1	387	139	525	0.9974160206718347
GH43_19.hmm	233	EAJ10_RS07730	955	4.7e-74	1	233	83	324	0.9957081545064378
GH43_29.hmm	278	EAJ10_RS07730	955	1.4e-101	1	278	358	635	0.9964028776978417
GH43_34.hmm	280	EAJ10_RS07730	955	3.5e-95	1	279	657	945	0.9928571428571429
GH43_24.hmm	246	EAJ10_RS07735	443	1.8e-68	2	245	45	279	0.9878048780487805
GH146.hmm	503	EAJ10_RS08545	791	8.7e-196	1	502	33	535	0.9960238568588469
GH43_10.hmm	271	EAJ10_RS08550	516	1.6e-101	1	271	15	280	0.996309963099631
CBM91.hmm	200	EAJ10_RS08550	516	1.9e-30	5	198	308	512	0.965
GH10.hmm	303	EAJ10_RS08560	379	4.1e-100	1	302	31	370	0.9933993399339934
GH43_1.hmm	310	EAJ10_RS08565	323	5.5e-156	2	310	8	317	0.9935483870967742
GH5_21.hmm	259	EAJ10_RS08600	1135	3.2e-93	2	258	80	351	0.9884169884169884
GH95.hmm	722	EAJ10_RS08605	819	1.8e-287	5	713	20	749	0.9806094182825484
CE1.hmm	227	EAJ10_RS08610	291	1.6e-56	1	225	34	286	0.986784140969163
GH43_10.hmm	271	EAJ10_RS08615	599	4.2e-75	1	271	54	360	0.996309963099631
CBM91.hmm	200	EAJ10_RS08615	599	6.2e-24	5	197	392	592	0.96
GH2.hmm	752	EAJ10_RS08620	791	1.4e-116	21	590	20	710	0.7566489361702128
GH115.hmm	697	EAJ10_RS08640	829	3.2e-285	2	697	32	808	0.9971305595408895
GH43_35.hmm	294	EAJ10_RS08645	656	3e-111	1	294	7	344	0.9965986394557823
GT4.hmm	160	EAJ10_RS24230	369	3e-17	21	136	173	287	0.71875
GT2.hmm	170	EAJ10_RS24450	334	9.1e-27	1	126	5	131	0.7352941176470589
GT4.hmm	160	EAJ10_RS24520	419	1e-19	20	151	236	382	0.81875
PL1_2.hmm	183	EH213_RS08970	560	1.8e-65	1	183	127	330	0.994535519125683
GT4.hmm	160	EH213_RS21765	366	2.8e-20	7	148	189	327	0.88125
GT4.hmm	160	EH213_RS21770	352	2e-27	6	160	175	325	0.9625
GT4.hmm	160	EH213_RS23970	371	2.3e-19	2	154	183	337	0.95
